epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,723.878,1.15177,0.69384,0.94832,0.63578,0.56413,0.57139,0.36378,1.25358,0.85238,0.99637,0.0098185,0.0098185,0.0098185
57,736.473,1.13424,0.68668,0.94127,0.66379,0.56842,0.61381,0.37598,1.27865,0.78815,1.00057,0.0098152,0.0098152,0.0098152
58,749.181,1.1551,0.68728,0.95226,0.65699,0.57402,0.59591,0.36531,1.25755,0.82039,0.98807,0.0098119,0.0098119,0.0098119
59,761.884,1.17309,0.67632,0.93956,0.70911,0.58197,0.63613,0.38889,1.24175,0.76556,0.98201,0.0098086,0.0098086,0.0098086
60,774.687,1.15333,0.66805,0.94396,0.66577,0.57046,0.61116,0.36982,1.26351,0.81014,0.98848,0.0098053,0.0098053,0.0098053
61,787.314,1.13487,0.65822,0.93454,0.70643,0.59118,0.64542,0.39824,1.25507,0.76298,0.98516,0.009802,0.009802,0.009802
62,800.204,1.12322,0.66497,0.93014,0.624,0.56138,0.5741,0.33157,1.36276,0.87014,1.00561,0.0097987,0.0097987,0.0097987
63,813.044,1.10174,0.65181,0.93346,0.69074,0.56345,0.634,0.38288,1.30265,0.76801,0.99579,0.0097954,0.0097954,0.0097954
64,825.941,1.13951,0.65325,0.93817,0.66066,0.55924,0.60683,0.37261,1.25949,0.78716,0.98013,0.0097921,0.0097921,0.0097921
65,838.698,1.12248,0.64953,0.93649,0.67461,0.57189,0.60842,0.38912,1.2114,0.77682,0.97561,0.0097888,0.0097888,0.0097888
66,851.489,1.09591,0.63472,0.92963,0.7024,0.59861,0.64405,0.41393,1.18512,0.70496,0.95978,0.0097855,0.0097855,0.0097855
67,864.56,1.09299,0.61954,0.92426,0.68921,0.58614,0.64249,0.39881,1.24315,0.73753,0.97653,0.0097822,0.0097822,0.0097822
68,877.386,1.10309,0.62905,0.93109,0.68958,0.57741,0.61913,0.38004,1.26949,0.80481,0.99417,0.0097789,0.0097789,0.0097789
69,890.095,1.10685,0.61413,0.92118,0.69604,0.59522,0.64286,0.4051,1.22361,0.72317,0.97318,0.0097756,0.0097756,0.0097756
70,902.291,1.08568,0.61344,0.91812,0.70373,0.60092,0.65028,0.40811,1.23128,0.7494,0.98314,0.0097723,0.0097723,0.0097723
71,914.34,1.08085,0.59512,0.91671,0.72582,0.59701,0.65355,0.41423,1.22522,0.71203,0.9727,0.009769,0.009769,0.009769
72,926.846,1.07869,0.60511,0.91763,0.65993,0.53465,0.58439,0.34483,1.36567,0.93315,1.03375,0.0097657,0.0097657,0.0097657
73,939.271,1.07954,0.60136,0.91756,0.71347,0.60983,0.66472,0.41704,1.22391,0.69213,0.96571,0.0097624,0.0097624,0.0097624
74,951.722,1.0742,0.60102,0.91588,0.72644,0.58293,0.6574,0.41343,1.21006,0.74189,0.96902,0.0097591,0.0097591,0.0097591
75,964.435,1.04291,0.58544,0.91028,0.68566,0.57349,0.60251,0.37393,1.24779,0.82343,0.99546,0.0097558,0.0097558,0.0097558
76,976.832,1.05984,0.58414,0.9067,0.71098,0.6011,0.64747,0.41784,1.19788,0.72063,0.96216,0.0097525,0.0097525,0.0097525
77,989.468,1.03431,0.59256,0.90975,0.69323,0.59825,0.64517,0.4157,1.18227,0.70672,0.96266,0.0097492,0.0097492,0.0097492
78,1001.92,1.0253,0.57834,0.90614,0.74684,0.5824,0.65586,0.4326,1.15098,0.70149,0.95793,0.0097459,0.0097459,0.0097459
79,1014.79,1.02802,0.56903,0.90445,0.73881,0.61683,0.67361,0.43804,1.16642,0.6639,0.95717,0.0097426,0.0097426,0.0097426
80,1027.33,1.02837,0.55789,0.89734,0.72332,0.60021,0.65889,0.43452,1.15338,0.67719,0.95391,0.0097393,0.0097393,0.0097393
81,1039.87,1.00864,0.55416,0.9,0.75245,0.60841,0.67463,0.45279,1.1152,0.64195,0.9477,0.009736,0.009736,0.009736
82,1052.33,0.99659,0.54831,0.89404,0.74802,0.60859,0.6814,0.45399,1.11825,0.64807,0.94257,0.0097327,0.0097327,0.0097327
83,1064.88,1.00964,0.54575,0.89258,0.76279,0.60004,0.68004,0.44779,1.1384,0.63017,0.94812,0.0097294,0.0097294,0.0097294
84,1077.55,0.9888,0.55177,0.89142,0.7265,0.59594,0.65947,0.4324,1.16056,0.68698,0.95648,0.0097261,0.0097261,0.0097261
85,1090.26,0.99581,0.53872,0.89432,0.65929,0.59683,0.62795,0.40078,1.2046,0.76723,0.97146,0.0097228,0.0097228,0.0097228
86,1103.1,0.99061,0.53464,0.89114,0.76793,0.61074,0.68771,0.45608,1.13813,0.63797,0.94991,0.0097195,0.0097195,0.0097195
87,1116.03,0.96071,0.52521,0.88591,0.72444,0.59273,0.65728,0.42688,1.16928,0.72729,0.96462,0.0097162,0.0097162,0.0097162
